Fecha,Abrir,Max,Min,Cierre,Volumen
24sept2021,1749.70,1749.70,1745.00,1749.70,31
23sept2021,1766.80,1766.80,1738.20,1747.70,31
22sept2021,1776.70,1784.30,1767.00,1776.70,17
21sept2021,1762.20,1776.00,1759.00,1776.00,106
20sept2021,1751.80,1761.80,1750.90,1761.80,185
17sept2021,1758.80,1763.00,1749.40,1749.40,581
16sept2021,1792.90,1792.90,1743.90,1754.60,1645
15sept2021,1803.70,1803.70,1792.40,1792.40,59
14sept2021,1791.40,1806.20,1783.00,1804.70,764
13sept2021,1789.80,1796.00,1784.00,1792.00,533
10sept2021,1789.60,1789.60,1789.60,1789.60,-
09sept2021,1798.70,1798.70,1787.90,1797.40,49
08sept2021,1781.70,1790.70,1781.70,1790.70,69
07sept2021,1825.70,1825.70,1792.70,1795.90,48
03sept2021,1820.90,1833.90,1818.90,1830.90,53
02sept2021,1813.20,1813.90,1806.80,1808.70,26
01sept2021,1813.50,1815.90,1809.50,1813.10,114
31ago2021,1815.90,1815.90,1801.10,1815.00,82
30ago2021,1818.20,1820.30,1807.80,1809.00,684
27ago2021,1803.40,1816.60,1803.10,1816.60,1219
26ago2021,1787.40,1792.20,1781.00,1792.20,61
25ago2021,1792.00,1792.90,1784.00,1788.20,812
24ago2021,1801.00,1805.60,1801.00,1805.60,22
23ago2021,1776.80,1804.80,1776.80,1803.20,32
20ago2021,1784.10,1787.50,1778.20,1781.00,235
19ago2021,1780.00,1789.30,1775.50,1780.20,245
18ago2021,1787.80,1791.50,1779.00,1781.60,263
17ago2021,1787.70,1794.20,1780.00,1785.00.200
16ago2021,1776.90,1787.80,1771.90,1786.90,219
13ago2021,1758.30,1777.30,1757.40,1775.20,436
12ago2021,1749.70,1752.40,1745.50,1749.00,739
11ago2021,1727.30,1752.20,1727.30,1750.40,542
10ago2021,1728.60,1735.20,1720.10,1728.80,1363
09ago2021,1753.50,1753.80,1692.60,1723.40,1621
06ago2021,1799.80,1800.10,1758.40,1760.00,859
05ago2021,1810.80,1813.70,1796.00,1805.10,588
04ago2021,1809.30,1831.30,1806.30,1810.50,2860
03ago2021,1812.30,1813.50,1806.00,1810.10,3341
02ago2021,1812.40,1818.70,1804.80,1818.10,1334
30jul2021,1828.00,1830.50,1808.90,1812.60,3100
29jul2021,1806.60,1832.60,1806.10,1831.20.30.496
28jul2021,1799.50,1799.50,1799.50,1799.50.209.783
27jul2021,1803.70,1803.70,1799.50,1799.50,1
26jul2021,1802.50,1802.50,1797.20,1798.70,17
23jul2021,1800.00,1801.40,1800.00,1801.40,1
22jul2021,1793.60,1805.00,1793.60,1805.00,2
21jul2021,1807.00,1807.00,1800.00,1802.90,135
20jul2021,1812.90,1824.00,1810.90,1810.90,128
19jul2021,1803.30,1813.40,1803.30,1808.70,33
16jul2021,1830.10,1831.40,1814.50,1814.50,78
15jul2021,1831.60,1833.00,1823.40,1828.40,99
14jul2021,1813.10,1829.00,1813.10,1824.30.707
13jul2021,1808.10,1812.00,1800.60,1809.40,78
12jul2021,1802.60,1805.50,1799.50,1805.50,147
09jul2021,1803.60,1810.10,1798.80,1810.00,218
08jul2021,1797.00,1818.50,1797.00,1799.60,148
07jul2021,1798.70,1808.40,1797.20,1801.50,244
06jul2021,1786.70,1809.80,1786.70,1793.50,332
02jul2021,1778.70,1787.90,1778.30,1782.60,23
01jul2021,1775.70,1781.20,1768.80,1775.90,44
30jun2021,1761.10,1770.80,1759.20,1770.80,51
